公園綠地名稱,公園地址
溫州公園,桃園區溫州街59號對面
青溪公園,桃園區自強路217號
西門綠園,桃園區四維街、文康街口
成功公園,桃園區成功路三段旁
仁愛公園,桃園區宏昌九街、泰昌十一街口
三民公園,桃園區三民路、三元街口
民族公園,桃園區三民路三段、民族路口
同新公園,桃園區同安街（慈文國小對面）
延平公園,桃園區延平路、大豐路口
福安公園,桃園區大林路、建國路口
大林公園,桃園區大原二路(大樹派出所後側)
瑞慶公園,桃園區永安北路500號
寶慶公園,桃園區永安北路、寶慶路間
國際公園,桃園區國際路一段旁
龍岡公園,桃園區國強七街、國豐二街口
龍安公園,桃園區國強十一街、國豐七街及國豐八街口
國強公園,桃園區國強一街、益壽一街
國信公園,桃園區國信街與逸林街口
霖園公園,桃園區國鼎二街、國聖二街口
忠義公園,桃園區三元街407巷
中信公園,桃園區德華街、中山路956巷口
桃鶯公園,桃園區桃鶯路、大林路口
建國公園,桃園區桃鶯路、大林路口
南平公園,桃園區南平路、南崁溪邊
文昌公園,桃園區民權路（桃園國小旁）
藝文廣場,桃園區中正路、南平路、新埔六街
福信公園,桃園區國信街139號旁
永康公園,桃園區中正五街、永康街口
陽明公園,桃園區長沙街十一號
國豐公園,桃園區龍鳳三街與龍鳳三街65巷口
龍鳳公園,桃園區國強八街、國豐三街口
同安公園,桃園區新埔六街140號
中正公園,桃園區同安街、中正路
中成公園,桃園區國際路二段475巷邊
寶山公園,桃園區雙峰路、民有三街口
龍祥公園,桃園區龍泉二街、龍成五街間
建新公園,桃園區建新街、樹仁二街口
介壽公園,桃園區介壽路、介新街口
福林公園,桃園區介壽路、陽明五街、介新街口
福豐公園,桃園區介壽路、建國路口
汴洲公園,桃園區大有路、健行路
經國環保公園,桃園區莊敬路、經國路口
河濱綠地,桃園區民光東路二側（南崁溪）
南通公園,桃園區南通路旁
第一河濱公園,桃園區成功路至三元街會稽橋下游
第二河濱公園,桃園區虎頭山公園入口牌坊至經國環保公園
第三河濱公園,桃園區三元街47巷至經國路769巷
東溪綠園,桃園區復興路至和平路
朝陽公園,桃園區三民路、朝陽街口
玉山公園,桃園區漢中街、南豐二街口
經國綠園,桃園區經國路（經國國中校前道路）
快樂公園,桃園區大德三街
會稽公園,桃園區興一街65巷50號
莊敬公園,桃園區新埔十街、莊敬路
同德環保公園,桃園區中埔一街、同德六街
新埔公園,桃園區同安街、新埔五街邊
市三簡易公園,桃園區中洲街、泰昌街口
市二簡易公園,桃園區泰昌三街、宏昌七街口
忠孝公園,桃園區宏昌十二街、泰昌三街口
中山公園,桃園區吉昌街126號
瑞明公園,桃園區莊一街78號對面
明德公園,桃園區中寧街46號旁
大興里簡易公園,桃園區民有十一街
東埔公園,桃園區信光街、正康二街口
中寧公園,桃園區同德二街170號
風禾公園,桃園區慈文路、吉祥三路
復興公園,中壢區復華里內壢國中旁
中鑄公園,中壢區中華路二段
常樂公園,中壢區元化二路元生國小旁
中山公園,中壢區內定里吉林北路以東
成功公園,中壢區福德里成章四街120號(內壢高中)旁
三角公園<八區塊>,中壢區文化里文化路與吉林路口處
文化公園,中壢區文化路與長春二路92號旁
元生公園,中壢區文化路與元生ㄧ街交界
忠孝公園,中壢區忠孝路元生二街旁
吉林公園,中壢區中工段341-1地號
甲蟲兒童公園(文化兒2),中壢區文化路以東、元生一街以北
龍安公園,中壢區龍江路國軍副食品後
中園路環保公園,中壢區中園路447號(啟英高中)旁
永福環保公園,中壢區中園路114巷
普慶公園,中壢區普慶路21號旁
西園路環保公園,中壢區永福里社區.新街溪綠地
中正公園,中壢區中央里元化路、中美路一段及延平路交界
中央公園,中壢區中央里中央東路83號(公七停車場)上
六和兒童公園,中壢區六合路九合二路口
副食品公園,中壢區龍江路與龍平七街
五權兒童公園,中壢區五權里正大街55號
篤行公園,中壢區篤行里永福路13號旁
夢幻公園,中壢區中山里榮民路374號
普忠公園,中壢區普忠里新中一街街底(中原大學運動場旁)
舊社公園,中壢區舊明里義民路及明德南路交界
白馬公園,中壢區白馬街與王子二街
過嶺兒一公園,中壢區民族路五段.文中一南側
仁祥公園,中壢區仁祥里華勛街
華勛公園,中壢區華勛街363巷
仁美公園,中壢區仁美里(仁慈路70巷內)
桂花公園,中壢區華祥三街與華安路
華愛公園,中壢區華愛街43號對面
德和公園,中壢區仁和里仁德四街13巷與仁德八街交界
仁德公園,中壢區崁頂路94號前(仁美新村旁)
地標公園,中壢區延平路普義路橋旁
自強公園,中壢區自強國中旁.強國路以北
新興公園,中壢區新興里林森路95號(林森國小旁)
龍和公園,中壢區龍昌里龍川街及龍和三街交匯處
兒40公園,中壢區龍岡路二段306巷
龍岡森林公園,中壢區龍岡路三段與龍岡路262巷
振興公園,中壢區振興里龍陵路以西
南亞公園,中壢區龍福路與龍東路445巷
龍德公園,中壢區龍勇路100號(龍興國中旁)
龍岡公園,中壢區龍岡路三段龍岡圓環旁
龍岡公園新,中壢區龍岡路三段754號(消防隊旁)
仁福公園,中壢區中山東路三段429巷87弄旁
黎明公園,中壢區榮民南路800號(消防隊旁)
公十五公園,中壢區領航南路一段與文德路
龍岡萬坪公園,中壢區龍昌路346-20號對面 
光明公園,中壢區光明里中央西路二段141巷100號(中壢高商旁)
莒光環保公園,中壢區興國里莒光路2側
坤慶公園,中壢區忠孝里延平路155號(天晟醫院)後方
新街溪公園,中壢區溪州街與元化橋交界
公六公園,中壢區領航南路四段與青昇路
公七公園,中壢區領航南路三段與高鐵站前東路二段
公八公園,中壢區領航南路二段與青松路
公十公園,中壢區永春路與永溪路
公十一公園,中壢區洽溪路與永興路
公十三公園,中壢區高鐵南路二段與文德路
白馬莊公園,中壢區白馬街與王子街口
幸福公園,中壢區幸福里環北路福州一街9巷底
五福公園,中壢區中正路與五光一街(居安新村)
華愛兒童公園,中壢區華愛街43號對面
後寮兒童公園,中壢區後興路一段90巷
至善兒童公園,中壢區龍昌路180巷38號旁
吉德兒童公園,中壢區龍岡路三段281巷15弄30號旁
興仁親子公園,中壢區興仁路二段與興安一街
月眉環保公園,中壢區月眉里7鄰95號附近
兒2兒童遊樂場,中壢區高鐵北路二段與青昇二街
兒3兒童遊樂場,中壢區青埔四街與高鐵站前西路二段
兒5兒童遊樂場,中壢區青埔六街與青埔四街
兒6兒童遊樂場 ,中壢區青埔六街與青埔十一街
兒7兒童遊樂場,中壢區致遠一路與致遠二路
兒十兒童遊樂場,中壢區洽溪路與永春路
兒十一兒童遊樂場,中壢區領航北路二段與公園路二段
兒十二兒童遊樂場,中壢區永春路與永明路
兒十三兒童遊樂場,中壢區環溪路與永裕路
兒十四兒童遊樂場,中壢區高鐵南路二段與公園路一段
兒十五兒童遊樂場,中壢區領航南路一段與民權路四段
高鐵青塘園,中壢區高鐵南路二段以西
豐德公園,八德區豐德一路與豐田二路
建德公園,八德區長興路與建德路口
溪濱公園,八德區廣興五街
仁德公園,八德區建國路與仁德路口
興豐公園（一）,八德區豐田七街
興豐公園（二）,八德區興豐路與豐田路口
興豐公園（三）,八德區豐田路與豐田五街口
福興社區公園,八德區廣興路與長興一路
大湳公園,八德區福國北街與中路街口
公十五公園,八德區大智路與永福西街口
公二公園,八德區永福西街與福國北街街口
忠勇公園,八德區忠勇街與東勇一路口
大千公園,八德區永福街與忠勇街口
和盛公園,八德區大和路96號對面
大和公園,八德區銀和街力霸倫敦城對面
同和公園,八德區同和街與金和街口
建國公園,八德區建國路與同和街口
大成社區公園,八德區福僑街80巷
同福公園,八德區和義街底(和義街58號旁)
大勇兒童公園,八德區忠勇一街與忠勇六街口
廣豐公一公園,八德區廣豐路與廣豐一街交匯
廣豐兒一公園,八德區大智路與公園路交匯
廣豐生態綠地公園,八德區介壽路一段與廣豐路
思源公園,八德區思源街與正福街口
霖園兒童公園,八德區介壽路一段16巷底
圳邊公園,八德區大明街大圳邊 
文昌休閒公園,八德區文昌街與金和街口
廣達公園,平鎮區環南路35巷、廣成街口
德育公園,平鎮區德育路棒球場旁
振平公園,平鎮區德育路二段平鎮國中後面
和平公園,平鎮區和平路、莒光路口
市廿公園,平鎮區德育路二段112巷對面
貿易公園,平鎮區貿一路、龍平路口
貿七公園,平鎮區貿一路、貿中街口
雲南文化公園,平鎮區忠貞路忠貞一街
新勢公園,平鎮區延平路、中豐路口
文化公園,平鎮區文化街、復興街口
復興親子公園,平鎮區育達路、文化街口
義民公園,平鎮區環南路、復旦路口
義興公園,平鎮區義興路義興國小對面
宋屋公園,平鎮區廣泰路壢新醫院旁
新榮公園,平鎮區振興西路、新德街口
廣仁公園,平鎮區新光路65巷福壽5巷對面
新?公園,平鎮區中豐路、環南路三段口
新寶公園,平鎮區新富五街、新富街口
兒三公園,平鎮區振興西路、新德街口
北勢公園,平鎮區金陵路振興路對面
河濱公園,平鎮區大昌路底左側
新天母公園,平鎮區文化街復旦高中後面
建安宮公園,平鎮區平東路建安宮廟對面
金星里親子廣場,平鎮區平鎮市金星里中庸路、興安路交叉口
天津環保公園,平鎮區天津街、漢口街121巷口
漢口環保公園,平鎮區漢口街、大興街口
山子頂公園,平鎮區自由街、湧光路136巷口
民俗文化公園,平鎮區上海路長沙街對面
長沙公園,平鎮區長沙街、開封街口
莊敬公園,平鎮區自強街、莊福路口
兒十一公園,平鎮區南豐路115巷、湧光路2巷口
日星公園,平鎮區中豐路莊敬段、日星街口
兒廿六公園,平鎮區中正一路、龍江路口
兒一公園,平鎮區民族路雙連二段118巷
山峰公園,平鎮區中豐路山頂段411巷底右側
伯公岡公園,楊梅區民生街135號與富豐南路交叉
富岡運動公園,楊梅區新富七街與員德路路口
豐野兒童公園,楊梅區新富十一街與新富十三街交叉口
新富兒童公園,楊梅區新富七街與新富一街交叉口
貴山公園,楊梅區貴山街底(緊鄰楊梅國中)
楊明公園,楊梅區中山北路一段390巷
頭重溪公園,楊梅區三元街與中山北路256巷交叉口
瑞溪兒童公園,楊梅區瑞梅街102巷
新梅兒童公園,楊梅區新梅八街與梅高路交叉口
埔心公園,楊梅區文化街123巷
四維兒童公園,楊梅區四維二路91號前
民族兒童公園,楊梅區民族路五段227巷弄與247巷交叉口
雙榮兒童公園,楊梅區民族路227巷1弄與247巷交叉路口
國寶兒童公園,楊梅區秀才路207巷
中山親水公園,楊梅區新農街78巷旁（大同國小對面）
長榮路旁公園(長榮公園),蘆竹區長興里長榮路與錦溪路口
錦興河濱公園與,蘆竹區錦興里錦褔路錦興宮後方
錦順街河濱公園,
光明河濱公園,蘆竹區南興里光明路二段109號旁入口
中興公園,蘆竹區中福里大興四街與興中街口
上興公園  ,蘆竹區中福里上興路與大竹一街口
中福公園,蘆竹區中福里大竹一街與中興四街口
大興公園,蘆竹區新莊里大興十街與大興十一街口
大新公園  ,蘆竹區大竹里大新一街與新福街口
大竹觀光休閒公園,蘆竹區大竹里興仁路與大褔路口
兒三環保公園,蘆竹區南竹路五段224巷與大竹北路15巷口
明德公園  ,蘆竹區上竹里明德街與博愛街口
228紀念公園含環保公園 ,蘆竹區大竹里大新三街
吉林公園,蘆竹區羊稠里吉林路及吉林路176巷對面
營盤坑溪帶狀綠九公園,蘆竹區營盤里六福路及中山路旁
南興公園(遊七公園),蘆竹區順興里南順二街
遊八公園,蘆竹區福昌里南順七街
公所旁廣場,龜山區中山街26號旁
龜山區第三運動公園,龜山區自強南路81巷
大同公園,龜山區德明路77巷40號旁
中正公園,龜山區自強北路38號旁
楓樹公園,龜山區楓樹三街口
楓樹二號公園,龜山區楓樹四街底
龜山千禧河岸公園,龜山區光峰路眷村博物館對面
龍華公園,龜山區萬壽路一段422巷22弄
迴龍公兒二公園,龜山區萬壽路一段241巷
宏慶公園,龜山區萬壽路69巷12弄旁
頂湖環保公園,龜山區新興街105號旁
新城環保公園,龜山區新興街68巷123號旁
大崗公園,龜山區新興一街(大崗國小對面)
大湖紀念公園,龜山區文三三街48號旁
坪頂公園,龜山區文三三街20巷
大湖公園,龜山區文三二街78巷27弄
婦幼公園,龜山區忠義路二段138號
華美公園,龜山區文七一街67號旁
華興公園,龜山區興華二街27巷
華東公園,龜山區文東五街37巷
龜山區第二運動公園,龜山區文華國小後方(頂湖一街)
廣六公園,龜山區文化七路與興華五街交叉口
大華公園,龜山區文化七路與興華五街交叉口(文華國小旁)
華友公園,龜山區文化三路564巷
蔡公堂公園,龜山區文昌二街21巷
文化公園,龜山區復興北路與文昌五街交叉口
文興公園,龜山區復興南路78巷
復興公園,龜山區復興南路71巷
樂善公園,龜山區文安路與文光路交叉
文德公園,龜山區樂善里文德二路
龜山區第一運動公園,龜山區文化二街龜山二路交叉口
南崁溪河濱公園,龜山區過溪8鄰(路光社區旁)
運動公園,龍潭區北龍路290號
大平山公園,龍潭區大平里民治八街巷內
大平環保公園,龍潭區大平里永平路35號對面
聖德文教公園,龍潭區聖德里聖亭路349巷內
大池,龍潭區中豐路上林段115巷11號
三坑生態公園,龍潭區三坑里石門大壩後池堰大漢溪下游處
軍史公園,大園區圳頭里10鄰85之5號及台61橋下
三石公園,大園區三石里三和路38號前(圖書館旁)
華興(池)公園,大園區華興路和中園街口
埔心池公園,大園區中正東路一段與埔心街
大園公園,大園區大觀路117號旁
?林池公園,大園區台四線三民路二段(中油加油站對面)
圳頭池公園,大園區國際路一段與桃28線
大海公園,大園區大海里10鄰大竹北路
內海公園,大園區內海里貴文宮後方
內海墘公園,大園區中山北路與國際路路口
橫峰河濱公園,大園區平安路15巷
老街溪河濱公園,大園區中正西路與華中街
客運園區公一公園,大園區園科路、科二街
客運園區公三公園,大園區園科路、園學路、園航路
客運園區公四公園,大園區環區東路
客運園區公五公園,大園區環區東路
客運園區兒一公園,大園區環區中路、文治路
客運園區兒二公園,大園區園八街、文興街
客運園區兒三公園,大園區環區中路、南和路
客運園區兒四公園,大園區甘塘路、南和路
高鐵特區公園公一,大園區大智路、大成路、大仁路、青昇路
高鐵特區公園公二,大園區領航北路三段、春德路
高鐵特區公園公三,大園區領航北路三段
高鐵特區公園公四,大園區領航北路三段、致善路二段交界(領航北橋旁)
高鐵特區公園公九,大園區至善路二段
高鐵特區公園兒一,大園區高鐵北路二段、青昇二街
高鐵特區公園兒八,大園區致祥二街
高鐵特區公園兒九,大園區致遠街、致維街、致遠一路
仁武公園,大溪區慈光一街與慈光二街路口
仁和公園,大溪區仁一街與仁二街路口
原住民文化會館旁公園,大溪區員林路29巷
埔頂都計公（一）公園,大溪區仁善街與埔仁路口
埔頂都計公（十一）公園,大溪區埔頂路員林路口
兒二公園,新屋區仁愛街及八德街交界
兒一公園,新屋區福德街天主堂後面
兒六公園,新屋區頭洲重劃區新洲東路
兒七公園,新屋區頭洲重劃區福洲路
公二公園,新屋區頭洲重劃區頭洲村高洲路及高洲六街交叉口
草漯八號公園,觀音區草漯里四維二街35-1號旁
草漯兒23公園,觀音區六合二街與六合三街交口
觀音兒一公園,觀音區仁愛路43巷39號邊(與39巷交口)
甘泉公園,觀音區中山路甘泉井旁
十全休憩公園,觀音區十全路與一心路口旁
草漯3號廣場,觀音區草新段612
志工公園,復興區澤仁里忠孝路24號旁
