Album,Artist,Year,Record,Nation,listened
Whats Going On,Marvin Gaye ,1971,Tamla/Motown,1,0
Pet Sounds,The Beach Boys ,1966,Capitol,1,0
Songs in the Key of Life,Stevie Wonder ,1976,Tamla/Motown,1,1
Abbey Road,The Beatles ,1969,Apple,0,1
Rumors,Fleetwood Mac,1977,Warner Bros.,0,0
Purple Rain,Prince and the Revolution ,1984,Warner Bros.,1,1
Are You Experienced,Jimi Hendrix,1967,Track,1,1
Sgt. Pepper’s Lonely Hearts Club Band,The Beatles ,1967,Capitol,0,1
White Album,The Beatles,1968,Apple,0,1
Revolver,The Beatles,1966,Apple,0,1
